,DFFPOSX1_1,DFFPOSX1_2,DFFPOSX1_3,DFFPOSX1_4,DFFPOSX1_5,DFFPOSX1_6,DFFPOSX1_7,DFFPOSX1_8,DFFPOSX1_9,DFFPOSX1_10,DFFPOSX1_11,DFFPOSX1_12,DFFPOSX1_13,DFFPOSX1_14,DFFPOSX1_15
average_neighbour_degree,1.3333333333333333,2.0,1.3333333333333333,2.0,1.25,2.0,1.5,1.0,0.6666666666666666,1.8571428571428568,0.5,0.6666666666666666,0.5,1.3333333333333333,1.0
betweenness_centrality,0.12547269739447214,0.018605963411736755,0.1267571473825929,0.038446879702225385,0.08702581769224678,0.03200730577334284,0.09649312980121963,0.009931100023758613,0.008226419577096697,0.09228439059158944,0.004276550249465432,0.012795002771838126,0.003444998812069375,0.01979389403658826,0.0036231884057971015
closeness_centrality,0.06859114200192785,0.06476494701495791,0.06538666150795569,0.053100820863281085,0.06148808440967801,0.054834523036988964,0.0603517543076511,0.060490737844507,0.061402548096228964,0.05383022774327122,0.07194694694694695,0.06479694802435916,0.048043631461224985,0.07237036880392489,0.0604424225586887
clustering,0.0,0.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.1,0.1,0.0,0.16666666666666666,0.1,0.16666666666666666,0.1,0.0
degree,8.0,3.0,5.0,6.0,6.0,5.0,8.0,5.0,5.0,9.0,4.0,5.0,4.0,5.0,3.0
degree_centrality,0.043478260869565216,0.016304347826086956,0.02717391304347826,0.03260869565217391,0.03260869565217391,0.02717391304347826,0.043478260869565216,0.02717391304347826,0.02717391304347826,0.04891304347826087,0.021739130434782608,0.02717391304347826,0.021739130434782608,0.02717391304347826,0.016304347826086956
has_feedback_path,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.07540081234490521,0.07538614843113649,0.07539176458146289,0.07538898297434704,0.0753963638663422,0.07537103702270674,0.07539093976324311,0.07539686060388202,0.07539678058420402,0.07539721084385745,0.07539324432997062,0.0753934376082699,0.07524649870455806,0.07540008539690703,0.07523385313328389
load_centrality,0.12548259681634594,0.018605963411736755,0.12678189593727726,0.038429555713946316,0.08703076740318366,0.031992456640532185,0.09651936326918507,0.00992664528391542,0.008144749346638155,0.0923616060822048,0.004276550249465432,0.012799952482775006,0.003444998812069375,0.019764195770966976,0.0036231884057971015
outdegree,6.0,1.0,3.0,4.0,4.0,3.0,6.0,3.0,3.0,7.0,2.0,3.0,2.0,3.0,1.0
pagerank,0.01151912435499938,0.01311507431690377,0.006516671288684008,0.005493848812985674,0.007305533696866817,0.007008879623592341,0.007303723577567286,0.014638254682072116,0.015090552710928531,0.010327636185931577,0.01247730333220034,0.017885303385557508,0.00950888311292156,0.015572329619296478,0.003428423542824321
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx_state_ff,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Euclidean,0.0,0.13333333333333333,0.3333333333333333,0.2,0.13333333333333333,0.2,0.4666666666666667,0.3333333333333333,0.4,0.26666666666666666,0.3333333333333333,0.2,0.13333333333333333,0.3333333333333333,0.13333333333333333
fastRELIC_score,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
