,DFFPOSX1_1_b06_reset,DFFPOSX1_2_b06_reset,DFFPOSX1_3_b06_reset,DFFPOSX1_4_b06_reset,DFFPOSX1_5_b06_reset,DFFPOSX1_6_b06_reset,DFFPOSX1_7_b06_reset,DFFPOSX1_8_b06_reset
average_neighbour_degree,0.0,0.0,0.0,0.0,0.0,1.8,1.8333333333333333,1.8333333333333333
betweenness_centrality,0.008330248056275453,0.008515364679748241,0.0074046649389115145,0.0074046649389115145,0.008515364679748241,0.11039297614640081,0.15416556478200313,0.12252031875319544
closeness_centrality,0.086324494841845,0.0910655878808745,0.09918175055789735,0.09200690051753882,0.08665028665028665,0.07960687960687961,0.09121621621621623,0.0841995841995842
clustering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
degree,3.0,3.0,3.0,3.0,3.0,7.0,8.0,8.0
degree_centrality,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.0945945945945946,0.10810810810810811,0.10810810810810811
has_feedback_path,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
indegree,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
katz,0.1175129377105876,0.1175160673227246,0.11870929179930233,0.1186007294408432,0.11751273126667768,0.11859274403533168,0.11871048587863114,0.11871049169395256
load_centrality,0.008330248056275453,0.008515364679748241,0.0074046649389115145,0.0074046649389115145,0.008515364679748241,0.11000555349870418,0.15480377637911885,0.12226952980377638
outdegree,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0
pagerank,0.023601457302409246,0.024312375330330423,0.019638733640114654,0.016505487058831144,0.023545456106242865,0.02186411192038619,0.025351333835325153,0.023919251430405086
xx_good_SN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xx_state_ff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
